Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Rental_Vac_Rate,Consumption_HH,SNAP,Med_Income_SL,Population
3.5,40668,7/1/15,372.31,5.1,94726.6,223055,65549,2983.626
3.5,40668,10/1/15,377.29,5.1,94726.6,222981,65549,2983.626
3.5,42008,1/1/16,382.87,5.7,100033.9,221443,68404,3044.241
3.4,42008,4/1/16,391.52,5.7,100033.9,221948,68404,3044.241
3.3,42008,7/1/16,400.58,5.7,100033.9,216446,68404,3044.241
3.2,42008,10/1/16,405.27,5.7,100033.9,212903,68404,3044.241
3.2,43711,1/1/17,412.49,6.2,106375.8,210310,71396,3103.54
3.2,43711,4/1/17,426.1,6.2,106375.8,206621,71396,3103.54
3.2,43711,7/1/17,436.04,6.2,106375.8,199143,71396,3103.54
3.1,43711,10/1/17,441.84,6.2,106375.8,196886,71396,3103.54
3,46377,1/1/18,451.13,5.4,113863.9,193618,73619,3155.153
2.9,46377,4/1/18,466.14,5.4,113863.9,188587,73619,3155.153
2.9,46377,7/1/18,475.78,5.4,113863.9,181859,73619,3155.153
2.9,46377,10/1/18,481.94,5.4,113863.9,178812,73619,3155.153
2.8,49115,1/1/19,490.14,3.8,119970.1,174116,79941,3203.383
2.6,49115,4/1/19,500.11,3.8,119970.1,170989,79941,3203.383
2.5,49115,7/1/19,508.21,3.8,119970.1,168361,79941,3203.383
2.4,49115,10/1/19,515.64,3.8,119970.1,165374,79941,3203.383
2.4,52204,1/1/20,522.38,5.3,121445.4,163926,79294,3281.684
10.1,52204,4/1/20,531.9,5.3,121445.4,164234,79294,3281.684
5.4,52204,7/1/20,544.73,5.3,121445.4,164234,79294,3281.684
3.8,52204,10/1/20,563.78,5.3,121445.4,164234,79294,3281.684
3.1,52204,1/1/21,586.35,4.4,121445.4,164234,79294,3337.975
